Name,Count,Gender
John,2032,male
Thomas,1291,male
William,1276,male
Richard,621,male
Robert,612,male
Henry,517,male
James,430,male
George,426,male
Edward,406,male
Charles,214,male
Francis,212,male
Samuel,209,male
Alexander,149,male
Nicholas,148,male
Peter,123,male
Edmund,118,male
Christopher,113,male
David,111,male
Anthony,100,male
Hugh,93,male
Joseph,91,male
Andrew,90,male
Roger,81,male
Walter,79,male
Ralph,75,male
Arthur,72,male
Philip,70,male
Patrick,69,male
Nathaniel,68,male
Matthew,66,male
Daniel,64,male
Humphrey,58,male
Stephen,53,male
Benjamin,48,male
Michael,43,male
Archibald,41,male
Gilbert,41,male
Abraham,35,male
Isaac,32,male
Simon,32,male
Laurence,31,male
Paul,31,male
Adam,29,male
Martin,28,male
Leonard,27,male
Jean,26,male
Lewis,25,male
Timothy,24,male
Jacob,23,male
Bartholomew,22,male
Bernard,21,male
Rowland,21,male
Theophilus,21,male
Giles,20,male
Jeremiah,17,male
Joshua,17,male
Oliver,17,male
Clement,15,male
Gabriel,15,male
Maurice,15,male
Owen,15,male
Donald,14,male
Miles,14,male
Brian,13,male
Luke,13,male
Ambrose,12,male
Jonathan,12,male
Lawrence,12,male
Valentine,12,male
Cuthbert,11,male
Mark,11,male
Moses,11,male
Colin,10,male
Dudley,10,male
Geoffrey,10,male
Gerard,10,male
Gervase,10,male
Josias,10,male
Tobias,10,male
Zachary,10,male
Elizabeth,514,female
Anne,339,female
Mary,297,female
Margaret,231,female
Jane,153,female
Katherine,110,female
Alice,92,female
Dorothy,91,female
Joan,81,female
Frances,78,female
Catherine,77,female
Agnes,53,female
Eleanor,48,female
Bridget,32,female
Sarah,31,female
Isabel,30,female
Anne,29,female
Cecily,29,female
Margery,28,female
Lucy,22,female
Ursula,22,female
Martha,16,female
Barbara,15,female
Susan,15,female
Grace,14,female
Susanna,14,female
Anna,13,female
Hester,13,female
Joyce,13,female
Winifred,13,female
Helen,12,female
Lettice,11,female
Philippa,11,female
Rose,11,female
Christian,9,female
Edith,9,female
Isabella,9,female
Judith,9,female
Maud,9,female
Rebecca,9,female
Constance,8,female
Henrietta,8,female
Magdalen,8,female
Maria,8,female
Thomasine,8,female
Abigail,7,female
Blanche,7,female
Elinor,7,female
Ellen,7,female
Gertrude,7,female
Hannah,7,female
Honra,7,female
Marie,7,female
Joanna,6,female
Marion,6,female
Charlotte,5,female
Janet,5,female
Penelope,5,female
Rachel,5,female
Sybil,5,female
Thomasine,5,female
Amy,4,female
Arabella,4,female
Deborah,4,female
Diana,4,female
Johanna,4,female
Mabel,4,female
Theophila,4,female
Catharine,3,female
Cecilia,3,female
Elisabeth,3,female
Emma,3,female
Esther,3,female
Jennet,3,female
Juliana,3,female
Lydia,3,female
Muriel,3,female
Sarah,3,female
Theodosia,3,female
Audrey,2,female
Aurelia,2,female
Avice,2,female
Avis,2,female
Brilliana,2,female
Cassandra,2,female
Christina,2,female
Christine,2,female
Cordell,2,female
Damaris,2,female
Denise,2,female
Dorcas,2,female
Douglas,2,female
Elizabeth,2,female
Ellyn,2,female
Ethelreda,2,female
Faith,2,female
Florence,2,female
Francisca,2,female
Grisel,2,female
Griselda,2,female
Helena,2,female
Honor,2,female
Inex,2,female
Jeanne,2,female
Jocosa,2,female
Johanne,2,female
Katharine,2,female
Madeleine,2,female
Matilda,2,female
Merial,2,female
Sabine,2,female
Sophia,2,female
Susannah,2,female
Sylvestra,2,female
Teresa,2,female
